Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
55,Travel_Rarely,Research & Development,13,1,Human Resources,4,Male,Sales Executive,3,Single,5334,1,No,20,2,34,5,3,13,7,3,7,Yes
20,Non-Travel,Sales,1,4,Life Sciences,3,Female,Sales Executive,1,Married,4071,2,No,10,1,0,4,4,1,2,9,1,No
56,Travel_Frequently,Research & Development,2,2,Life Sciences,2,Female,Sales Representative,1,Single,20816,6,No,21,3,37,0,2,1,10,8,7,No
19,Non-Travel,Research & Development,10,1,Life Sciences,3,Female,Sales Executive,2,Single,3883,2,No,10,0,0,1,2,13,7,1,4,No
52,Non-Travel,Research & Development,11,2,Life Sciences,3,Female,Research Director,3,Single,5442,5,Yes,24,2,33,5,3,10,0,9,3,No
55,Non-Travel,Research & Development,6,3,Technical Degree,3,Male,Sales Executive,1,Married,6433,0,Yes,12,0,36,3,4,15,8,6,0,Yes
53,Travel_Rarely,Research & Development,16,1,Life Sciences,2,Male,Human Resources,1,Married,3999,2,Yes,24,1,33,0,4,7,3,2,6,No
55,Travel_Rarely,Research & Development,12,2,Other,1,Female,Research Scientist,3,Married,3899,5,No,18,3,36,3,3,11,3,3,0,No
49,Travel_Rarely,Research & Development,8,2,Life Sciences,4,Male,Research Scientist,3,Married,7165,1,No,16,3,31,3,1,0,0,7,10,No
33,Travel_Frequently,Sales,23,4,Technical Degree,2,Male,Human Resources,4,Single,5346,1,No,24,2,12,0,4,8,10,4,10,No
39,Travel_Rarely,Research & Development,20,1,Technical Degree,2,Male,Research Scientist,3,Married,11354,3,Yes,12,2,17,6,2,15,1,10,8,No
21,Travel_Rarely,Human Resources,11,4,Life Sciences,3,Female,Research Director,2,Single,4022,7,No,17,1,3,1,2,9,8,0,3,Yes
27,Travel_Rarely,Research & Development,2,4,Medical,3,Female,Laboratory Technician,4,Single,5026,5,No,13,0,5,2,3,6,5,3,2,No
47,Travel_Rarely,Human Resources,20,3,Life Sciences,1,Male,Research Scientist,2,Divorced,1912,2,No,13,0,25,6,1,9,8,2,5,No
48,Travel_Frequently,Research & Development,18,2,Medical,3,Male,Manager,1,Single,7360,6,No,20,1,28,0,3,6,3,6,7,No
53,Non-Travel,Sales,18,1,Medical,3,Male,Research Scientist,1,Married,6665,2,Yes,21,2,35,3,3,12,4,2,5,No
58,Travel_Rarely,Sales,12,4,Other,2,Male,Manager,3,Married,6058,3,Yes,15,0,36,4,1,15,6,5,3,No
42,Travel_Rarely,Research & Development,14,2,Technical Degree,1,Male,Human Resources,1,Divorced,3978,2,Yes,23,2,24,1,1,11,7,7,1,No
48,Travel_Frequently,Research & Development,28,3,Human Resources,1,Male,Research Scientist,4,Married,4768,2,No,11,3,28,0,3,9,7,5,5,No
57,Non-Travel,Sales,17,1,Medical,1,Female,Research Scientist,3,Married,11533,2,No,10,0,38,1,3,2,5,0,3,No
40,Travel_Rarely,Sales,16,2,Medical,2,Female,Laboratory Technician,2,Single,6674,6,Yes,21,0,22,3,3,10,7,4,4,No
35,Travel_Rarely,Research & Development,12,1,Other,1,Male,Sales Executive,4,Married,7113,4,No,17,0,13,4,1,5,3,2,7,No
22,Travel_Rarely,Research & Development,12,3,Life Sciences,4,Female,Sales Executive,2,Married,6243,0,No,23,3,2,6,2,5,3,10,0,No
35,Travel_Rarely,Sales,24,3,Technical Degree,1,Male,Manager,1,Single,7654,2,No,25,1,16,3,2,7,9,0,9,No
36,Travel_Rarely,Research & Development,27,1,Life Sciences,3,Female,Research Scientist,1,Divorced,7964,9,No,19,0,15,3,1,7,5,4,10,No
37,Travel_Rarely,Sales,4,4,Marketing,1,Female,Laboratory Technician,4,Married,7198,2,Yes,16,2,17,5,4,10,4,9,3,No
36,Non-Travel,Research & Development,27,4,Medical,3,Female,Research Scientist,4,Married,3460,2,No,19,3,18,1,3,1,2,9,2,No
25,Travel_Rarely,Sales,27,4,Technical Degree,1,Female,Healthcare Representative,2,Married,5315,4,Yes,22,2,5,3,4,7,7,3,10,No
21,Non-Travel,Human Resources,27,1,Life Sciences,2,Male,Sales Executive,4,Divorced,3657,3,No,25,0,0,0,1,15,10,4,10,No
52,Travel_Rarely,Research & Development,8,1,Medical,2,Male,Laboratory Technician,3,Single,4273,3,No,18,0,30,0,4,0,7,9,6,No
30,Travel_Rarely,Research & Development,18,3,Life Sciences,4,Female,Sales Executive,4,Married,4250,4,No,23,2,10,6,1,4,9,0,10,No
48,Travel_Frequently,Research & Development,24,4,Technical Degree,2,Female,Research Scientist,4,Married,4847,5,Yes,15,0,29,5,4,1,4,9,6,No
38,Travel_Rarely,Research & Development,12,3,Medical,4,Female,Laboratory Technician,1,Single,3070,4,Yes,24,2,20,4,3,0,6,4,8,No
23,Travel_Frequently,Human Resources,27,1,Medical,2,Female,Sales Executive,3,Divorced,6758,2,Yes,22,1,2,3,4,0,9,3,2,No
27,Non-Travel,Research & Development,22,3,Life Sciences,2,Female,Laboratory Technician,4,Married,6031,1,Yes,20,2,6,5,2,11,2,2,3,No
52,Travel_Rarely,Research & Development,28,4,Medical,1,Female,Sales Executive,1,Married,6673,6,Yes,17,3,34,0,3,7,5,10,2,No
23,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,Sales Executive,1,Married,3758,4,No,10,0,3,0,3,13,1,5,6,No
43,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,Sales Executive,2,Married,5454,4,Yes,10,2,23,0,4,10,0,0,8,No
32,Travel_Rarely,Research & Development,17,3,Life Sciences,2,Male,Laboratory Technician,1,Divorced,11526,4,No,24,0,11,4,1,3,9,3,9,No
46,Travel_Rarely,Sales,13,1,Medical,4,Female,Healthcare Representative,4,Divorced,2883,1,Yes,18,3,27,5,1,5,7,0,8,No
28,Travel_Frequently,Research & Development,11,1,Medical,1,Female,Sales Executive,4,Divorced,3937,3,No,25,0,9,4,3,3,7,6,9,Yes
29,Non-Travel,Sales,21,3,Medical,2,Female,Research Scientist,3,Single,4165,1,Yes,10,3,8,5,3,8,3,5,1,No
51,Travel_Frequently,Human Resources,25,4,Life Sciences,1,Female,Laboratory Technician,3,Married,5795,1,No,10,3,31,1,4,10,1,4,8,No
27,Travel_Rarely,Research & Development,14,3,Technical Degree,4,Female,Sales Executive,2,Married,4630,0,Yes,18,1,9,0,3,10,4,8,10,No
38,Travel_Frequently,Research & Development,6,2,Medical,1,Male,Research Scientist,1,Married,4071,2,No,23,0,18,5,2,10,0,3,2,Yes
36,Travel_Rarely,Human Resources,5,1,Technical Degree,3,Male,Research Scientist,4,Single,3927,3,No,21,3,17,6,1,0,9,8,4,No
48,Non-Travel,Sales,12,4,Human Resources,2,Female,Laboratory Technician,3,Married,3433,4,No,13,2,27,1,1,13,6,1,7,No
21,Travel_Rarely,Research & Development,23,1,Life Sciences,1,Male,Laboratory Technician,2,Married,3599,2,No,20,2,2,4,4,10,10,4,2,No
47,Travel_Rarely,Sales,10,2,Other,1,Female,Sales Executive,3,Single,5791,3,No,15,1,25,4,3,11,9,5,3,No
45,Travel_Rarely,Research & Development,26,1,Life Sciences,2,Male,Sales Executive,4,Married,2914,2,No,11,3,23,3,3,13,1,10,3,No
35,Non-Travel,Sales,17,1,Medical,3,Female,Sales Executive,3,Single,9720,3,Yes,17,3,14,1,1,4,1,3,5,No
25,Travel_Rarely,Sales,6,4,Marketing,2,Male,Research Scientist,3,Single,4511,2,No,14,1,5,3,1,7,7,0,8,No
43,Travel_Rarely,Research & Development,5,2,Technical Degree,2,Female,Manufacturing Director,3,Married,5922,3,No,25,0,24,1,1,5,1,3,6,No
48,Non-Travel,Sales,13,2,Technical Degree,2,Male,Research Director,1,Single,3670,2,Yes,23,0,27,4,2,0,6,7,7,No
56,Travel_Frequently,Research & Development,3,4,Technical Degree,4,Male,Laboratory Technician,2,Divorced,7465,5,No,12,2,37,5,3,5,7,1,6,No
39,Travel_Rarely,Research & Development,9,4,Life Sciences,1,Female,Sales Executive,2,Divorced,5146,5,Yes,15,3,21,5,2,12,10,7,1,No
47,Travel_Rarely,Sales,1,4,Medical,3,Male,Sales Representative,2,Divorced,4518,5,No,12,1,26,5,1,5,3,8,9,No
24,Non-Travel,Research & Development,24,2,Medical,1,Female,Sales Executive,4,Married,8513,2,No,11,3,4,5,2,11,6,5,7,No
24,Travel_Rarely,Human Resources,23,4,Other,3,Female,Sales Executive,4,Married,8149,2,No,25,2,5,3,3,12,9,1,2,No
29,Travel_Rarely,Research & Development,8,4,Other,3,Female,Research Scientist,2,Married,4560,4,No,12,3,9,6,2,1,6,1,2,No
51,Travel_Frequently,Research & Development,17,3,Marketing,4,Male,Manufacturing Director,4,Married,5642,4,Yes,19,3,32,4,1,12,0,1,1,No
52,Travel_Rarely,Sales,9,4,Life Sciences,2,Female,Sales Representative,3,Married,5843,2,Yes,10,2,32,1,4,14,3,9,9,No
57,Travel_Frequently,Research & Development,22,1,Life Sciences,2,Male,Laboratory Technician,3,Married,4487,2,No,13,0,38,3,3,7,6,0,3,No
50,Non-Travel,Research & Development,7,4,Technical Degree,3,Female,Sales Representative,4,Married,6832,1,No,17,1,30,4,4,4,5,7,6,No
41,Non-Travel,Research & Development,1,4,Medical,3,Male,Sales Executive,1,Divorced,3518,2,No,17,2,19,6,3,8,0,1,9,No
32,Travel_Rarely,Sales,1,4,Life Sciences,3,Female,Laboratory Technician,4,Divorced,3142,4,No,15,1,10,2,3,1,10,5,1,No
39,Non-Travel,Research & Development,2,4,Marketing,1,Female,Laboratory Technician,4,Single,2438,1,No,16,0,18,0,3,11,5,10,0,No
44,Travel_Rarely,Sales,24,4,Life Sciences,2,Female,Healthcare Representative,2,Single,7181,6,No,19,0,23,1,1,14,1,8,2,No
32,Travel_Rarely,Research & Development,9,1,Medical,3,Female,Research Scientist,2,Divorced,5916,7,No,19,1,11,5,3,6,10,0,9,No
38,Travel_Rarely,Human Resources,15,2,Technical Degree,3,Male,Human Resources,2,Divorced,9306,2,Yes,13,0,18,6,2,14,7,7,7,No
19,Non-Travel,Research & Development,25,1,Life Sciences,3,Male,Laboratory Technician,3,Married,5671,5,No,22,0,0,3,2,12,8,3,7,No
24,Travel_Rarely,Research & Development,25,4,Medical,3,Male,Research Scientist,1,Married,2838,3,Yes,21,1,2,3,1,7,5,9,7,No
43,Travel_Rarely,Research & Development,10,2,Medical,2,Female,Laboratory Technician,3,Married,3391,0,No,23,1,25,3,2,6,6,8,7,No
50,Travel_Rarely,Research & Development,20,1,Marketing,3,Female,Human Resources,3,Single,5093,3,No,25,1,28,5,3,5,5,4,8,No
50,Travel_Rarely,Sales,16,1,Technical Degree,3,Male,Sales Executive,3,Single,2538,1,No,10,3,29,3,4,8,7,7,3,No
49,Travel_Rarely,Human Resources,29,4,Medical,1,Female,Manager,2,Married,6215,2,No,17,0,30,2,2,15,5,10,3,No
59,Travel_Frequently,Human Resources,1,4,Life Sciences,2,Male,Research Scientist,2,Single,6853,5,Yes,22,1,37,2,4,10,2,3,7,No
33,Travel_Frequently,Sales,27,4,Life Sciences,2,Female,Sales Executive,2,Single,6364,3,No,22,0,15,4,1,1,4,6,0,No
41,Travel_Rarely,Research & Development,24,4,Technical Degree,2,Male,Sales Executive,1,Single,12179,2,No,13,2,19,1,1,14,1,10,0,No
40,Travel_Rarely,Sales,28,2,Life Sciences,4,Male,Research Scientist,4,Divorced,9739,4,No,24,1,19,0,2,14,8,3,6,No
48,Travel_Rarely,Sales,9,2,Medical,4,Male,Human Resources,4,Single,2411,1,No,11,2,26,2,1,6,4,2,0,No
57,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Female,Research Scientist,2,Single,4312,4,No,22,1,38,2,2,13,1,0,0,No
25,Travel_Rarely,Research & Development,19,1,Medical,4,Male,Sales Executive,2,Married,3359,2,No,14,0,7,5,2,2,9,5,7,No
42,Travel_Rarely,Research & Development,12,1,Medical,1,Female,Sales Representative,4,Divorced,9693,6,No,15,2,20,2,1,0,7,1,5,No
59,Travel_Rarely,Sales,8,2,Other,4,Male,Laboratory Technician,3,Single,4399,2,No,21,3,40,0,1,12,4,9,9,No
54,Travel_Rarely,Research & Development,14,2,Medical,1,Male,Sales Representative,4,Married,7387,2,No,15,2,35,1,3,12,9,8,10,No
49,Travel_Rarely,Research & Development,15,2,Medical,2,Male,Research Scientist,4,Divorced,7552,3,No,10,1,30,2,3,3,0,4,1,No
34,Non-Travel,Human Resources,13,1,Medical,1,Female,Research Scientist,4,Single,6029,3,Yes,15,2,12,6,4,0,2,9,2,Yes
41,Travel_Rarely,Sales,3,2,Life Sciences,3,Male,Sales Executive,2,Married,3442,1,Yes,23,3,19,4,2,0,7,10,8,No
40,Travel_Frequently,Sales,12,2,Marketing,1,Female,Sales Executive,4,Married,2202,7,No,12,0,18,3,4,15,9,3,3,No
50,Non-Travel,Sales,28,2,Marketing,1,Female,Research Scientist,1,Married,4454,2,No,13,2,32,5,3,13,1,1,7,No
21,Travel_Frequently,Research & Development,19,1,Life Sciences,2,Male,Healthcare Representative,2,Single,4408,2,No,16,1,3,5,4,10,2,9,8,No
30,Travel_Rarely,Research & Development,15,3,Medical,2,Female,Research Scientist,2,Single,4647,3,No,19,1,12,5,1,15,4,10,1,No
25,Travel_Rarely,Research & Development,5,1,Marketing,4,Male,Sales Executive,2,Married,3522,4,No,23,2,4,1,4,3,10,8,7,No
27,Non-Travel,Research & Development,23,2,Technical Degree,2,Female,Human Resources,2,Single,5361,2,No,23,2,9,0,3,6,2,4,1,No
41,Non-Travel,Human Resources,26,4,Medical,1,Male,Laboratory Technician,2,Divorced,6159,1,No,12,2,23,1,2,13,0,7,1,No
49,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Male,Research Director,1,Single,7108,2,No,21,3,29,4,3,1,4,1,1,No
57,Travel_Rarely,Sales,5,4,Marketing,4,Male,Healthcare Representative,2,Married,3224,2,No,20,1,38,0,1,12,4,0,10,No
57,Non-Travel,Sales,10,3,Technical Degree,1,Male,Research Scientist,2,Married,4968,1,No,16,3,35,3,2,14,1,10,1,No
18,Travel_Frequently,Research & Development,15,4,Life Sciences,2,Female,Research Scientist,2,Single,7685,4,Yes,20,1,0,2,1,12,9,5,5,No
42,Travel_Rarely,Sales,12,3,Life Sciences,2,Female,Manager,2,Married,4834,0,Yes,21,1,21,1,1,7,5,5,0,No
30,Travel_Frequently,Research & Development,2,2,Medical,3,Female,Sales Executive,2,Married,5867,3,No,13,1,9,4,2,2,9,4,5,No
47,Travel_Frequently,Human Resources,26,2,Life Sciences,2,Male,Manufacturing Director,2,Single,17805,1,Yes,10,1,27,6,3,12,2,5,10,No
37,Travel_Rarely,Research & Development,25,4,Life Sciences,2,Male,Manager,1,Married,5004,2,No,19,1,19,6,3,0,2,1,3,No
49,Non-Travel,Research & Development,12,4,Human Resources,3,Male,Research Scientist,3,Married,2785,3,No,17,2,27,1,4,11,7,2,9,No
22,Travel_Frequently,Research & Development,19,2,Life Sciences,1,Male,Healthcare Representative,2,Single,4346,4,No,24,2,4,1,1,7,8,2,3,No
23,Travel_Rarely,Sales,21,1,Life Sciences,2,Female,Laboratory Technician,3,Married,5148,0,No,14,0,1,0,2,14,6,8,3,No
25,Travel_Rarely,Sales,13,4,Life Sciences,3,Female,Human Resources,2,Single,4944,1,No,22,2,3,1,3,14,2,0,9,No
58,Travel_Frequently,Human Resources,9,2,Life Sciences,4,Male,Research Scientist,2,Married,3496,10,No,10,2,39,2,4,5,7,2,10,No
27,Travel_Rarely,Research & Development,16,2,Medical,3,Female,Research Scientist,3,Married,6917,3,No,23,0,8,0,3,11,1,9,9,No
40,Travel_Frequently,Research & Development,3,1,Life Sciences,2,Male,Laboratory Technician,1,Married,7394,3,Yes,22,3,22,6,2,9,6,5,0,Yes
32,Travel_Rarely,Sales,20,1,Other,2,Female,Manufacturing Director,2,Single,7493,2,No,12,1,13,6,4,12,8,1,2,No
51,Travel_Rarely,Research & Development,3,1,Medical,2,Male,Human Resources,4,Single,4815,7,No,19,2,29,5,4,2,8,9,4,No
56,Travel_Rarely,Research & Development,4,3,Medical,4,Female,Sales Executive,1,Divorced,5850,5,No,12,0,38,0,3,10,6,7,5,No
43,Travel_Rarely,Research & Development,14,1,Marketing,4,Female,Sales Representative,4,Married,6592,3,No,10,2,25,5,4,15,1,3,2,No
58,Travel_Rarely,Sales,26,2,Technical Degree,3,Female,Manager,4,Single,4186,7,No,22,2,38,1,2,7,6,4,9,No
35,Travel_Rarely,Sales,1,1,Other,2,Male,Human Resources,2,Married,3827,3,Yes,18,0,15,3,3,14,9,8,6,Yes
50,Travel_Rarely,Sales,13,2,Technical Degree,4,Male,Laboratory Technician,4,Single,5322,0,Yes,11,2,32,5,4,14,0,0,1,No
37,Travel_Rarely,Research & Development,6,1,Medical,4,Male,Sales Representative,1,Married,4817,3,No,12,1,17,5,1,11,8,9,6,No
51,Travel_Rarely,Sales,6,1,Medical,1,Male,Manager,2,Single,2268,1,No,11,3,29,1,3,0,4,2,6,No
57,Travel_Rarely,Sales,7,2,Life Sciences,1,Male,Healthcare Representative,4,Single,5761,3,No,10,2,36,0,3,7,10,2,7,No
58,Travel_Rarely,Human Resources,7,3,Life Sciences,3,Male,Manager,3,Married,2965,1,No,12,2,38,6,3,2,3,6,5,No
45,Travel_Rarely,Research & Development,28,2,Marketing,1,Female,Research Scientist,3,Single,2757,1,No,15,3,25,0,2,15,0,3,6,No
31,Travel_Frequently,Sales,15,3,Life Sciences,2,Male,Manufacturing Director,3,Married,7560,5,No,11,0,9,0,3,7,10,2,1,No
24,Travel_Rarely,Sales,29,2,Life Sciences,2,Male,Sales Executive,2,Married,6262,5,Yes,19,1,4,5,2,6,8,5,10,No
33,Travel_Frequently,Sales,6,2,Technical Degree,3,Female,Sales Executive,4,Married,4777,4,No,13,3,11,3,1,2,5,6,8,No
46,Non-Travel,Research & Development,12,2,Medical,1,Female,Sales Executive,1,Single,10608,2,No,14,1,28,2,1,11,6,4,10,No
36,Travel_Rarely,Sales,4,4,Technical Degree,2,Male,Laboratory Technician,4,Married,2162,3,No,20,1,14,2,2,8,9,9,2,No
48,Travel_Rarely,Sales,24,4,Technical Degree,2,Male,Research Scientist,4,Married,10944,4,Yes,20,1,30,3,4,4,10,3,6,No
19,Travel_Frequently,Sales,7,1,Technical Degree,3,Male,Manager,1,Married,2521,3,Yes,20,2,0,0,1,9,0,10,10,No
58,Travel_Rarely,Research & Development,20,1,Life Sciences,3,Male,Human Resources,4,Married,6856,2,No,17,1,36,3,3,1,5,8,5,No
36,Travel_Rarely,Research & Development,1,2,Technical Degree,2,Female,Manager,4,Single,5448,3,No,20,0,18,1,4,10,9,6,8,No
52,Non-Travel,Human Resources,29,2,Medical,3,Male,Healthcare Representative,4,Divorced,5096,2,No,24,0,31,5,3,7,7,2,2,No
23,Travel_Rarely,Research & Development,13,3,Life Sciences,2,Female,Sales Executive,3,Married,5360,0,No,11,2,5,4,4,1,10,7,8,No
37,Travel_Frequently,Sales,18,2,Other,1,Male,Research Scientist,1,Married,5341,3,No,12,3,17,2,3,3,1,10,0,No
45,Travel_Rarely,Sales,24,1,Life Sciences,4,Male,Sales Executive,1,Married,5391,1,Yes,19,1,23,2,4,2,7,3,8,No
44,Travel_Frequently,Sales,29,4,Life Sciences,4,Female,Research Scientist,4,Married,7984,5,No,19,1,25,6,1,10,1,5,3,No
38,Travel_Frequently,Research & Development,11,4,Technical Degree,3,Female,Sales Executive,1,Divorced,4123,7,No,17,0,20,0,1,4,6,5,7,No
41,Travel_Rarely,Research & Development,13,2,Medical,4,Female,Sales Executive,4,Married,4625,3,No,10,3,21,4,3,15,5,2,9,No
38,Travel_Rarely,Research & Development,11,3,Life Sciences,4,Male,Research Director,2,Single,6188,3,Yes,21,3,20,3,2,6,6,5,5,No
35,Travel_Frequently,Research & Development,25,2,Life Sciences,4,Male,Sales Executive,2,Married,3486,4,No,21,3,17,5,2,11,10,10,9,No
18,Travel_Rarely,Research & Development,6,4,Life Sciences,2,Female,Laboratory Technician,1,Single,7157,4,Yes,16,1,0,5,1,13,10,10,8,No
22,Travel_Frequently,Research & Development,13,2,Marketing,3,Female,Research Scientist,3,Single,6643,6,No,22,3,0,2,1,4,10,3,1,No
28,Travel_Frequently,Sales,25,2,Technical Degree,4,Female,Research Director,4,Divorced,6814,1,No,25,3,10,1,1,6,2,6,7,No
36,Non-Travel,Research & Development,11,3,Technical Degree,3,Male,Laboratory Technician,1,Married,3082,3,No,21,2,16,1,2,7,3,10,6,No
55,Travel_Rarely,Research & Development,18,2,Technical Degree,4,Female,Sales Executive,1,Single,3634,1,No,24,3,33,6,4,5,4,10,10,Yes
47,Travel_Rarely,Sales,26,3,Life Sciences,3,Male,Laboratory Technician,1,Single,8410,5,No,10,1,29,6,4,2,1,7,5,No
27,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,Laboratory Technician,2,Married,5768,1,Yes,24,1,6,3,3,8,6,3,3,Yes
23,Non-Travel,Sales,21,2,Life Sciences,4,Female,Sales Executive,2,Single,3623,4,Yes,17,3,5,0,2,1,5,8,7,No
55,Travel_Rarely,Research & Development,25,4,Life Sciences,4,Male,Healthcare Representative,3,Single,5535,2,No,11,0,36,1,1,6,10,7,5,No
53,Non-Travel,Sales,16,3,Technical Degree,3,Female,Human Resources,3,Married,5050,1,No,14,2,35,5,1,14,2,10,2,No
33,Travel_Rarely,Sales,27,1,Technical Degree,4,Female,Laboratory Technician,3,Married,3826,2,No,20,0,14,0,2,1,8,1,3,No
58,Travel_Rarely,Research & Development,19,3,Technical Degree,2,Male,Sales Executive,2,Single,5668,3,No,16,1,38,1,1,4,2,1,10,No
25,Travel_Rarely,Research & Development,12,3,Life Sciences,3,Male,Sales Executive,4,Divorced,8199,4,No,24,0,3,0,3,15,3,9,5,No
55,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Male,Sales Executive,2,Single,2421,6,No,25,2,33,5,1,15,0,10,7,No
25,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,Sales Executive,1,Single,6219,4,No,22,2,3,4,1,9,7,9,2,No
45,Travel_Rarely,Research & Development,19,1,Medical,3,Male,Laboratory Technician,4,Married,6726,2,Yes,17,2,26,4,3,15,9,2,8,No
51,Travel_Rarely,Sales,13,1,Medical,4,Female,Healthcare Representative,2,Single,6515,3,Yes,17,3,32,1,2,0,1,6,4,No
54,Travel_Rarely,Sales,18,4,Life Sciences,2,Female,Sales Executive,4,Single,7647,4,No,15,3,33,0,1,1,10,8,0,No
45,Travel_Rarely,Sales,11,4,Life Sciences,3,Female,Sales Executive,4,Married,7956,4,Yes,17,2,25,4,4,7,5,4,5,No
20,Travel_Rarely,Research & Development,3,1,Life Sciences,2,Female,Research Scientist,2,Married,3821,3,No,12,3,0,2,2,4,9,2,2,No
21,Travel_Rarely,Research & Development,17,3,Life Sciences,2,Female,Manager,3,Divorced,5046,4,No,24,1,2,5,1,0,6,2,3,No
24,Travel_Rarely,Human Resources,10,2,Life Sciences,4,Female,Sales Executive,4,Married,3999,1,No,25,1,3,6,2,12,0,9,10,No
59,Travel_Frequently,Research & Development,22,1,Medical,1,Male,Research Scientist,4,Divorced,8490,4,No,16,1,37,4,3,14,7,9,4,No
21,Travel_Rarely,Research & Development,6,3,Medical,3,Female,Human Resources,1,Married,6923,6,No,24,2,1,1,1,4,3,10,9,No
26,Travel_Rarely,Research & Development,12,1,Technical Degree,4,Female,Human Resources,4,Single,4428,2,No,22,1,5,6,1,13,1,9,4,No
42,Non-Travel,Research & Development,27,2,Medical,1,Male,Research Scientist,3,Married,11024,2,No,15,1,20,2,2,1,3,8,2,Yes
21,Non-Travel,Sales,8,2,Other,1,Male,Research Scientist,2,Single,4588,0,No,15,2,0,4,4,13,0,10,2,No
29,Non-Travel,Research & Development,18,1,Life Sciences,2,Male,Laboratory Technician,3,Single,5447,3,Yes,13,2,7,5,4,4,10,5,1,No
23,Travel_Frequently,Research & Development,3,3,Life Sciences,2,Female,Research Scientist,2,Single,5883,3,Yes,15,3,1,5,4,6,2,9,2,Yes
46,Travel_Frequently,Sales,25,1,Medical,1,Male,Sales Executive,4,Married,4231,4,No,16,3,28,3,3,5,7,7,4,No
38,Travel_Frequently,Sales,20,3,Technical Degree,1,Male,Laboratory Technician,3,Married,7742,1,No,15,2,17,2,3,7,9,9,5,No
59,Travel_Rarely,Human Resources,18,1,Life Sciences,3,Male,Laboratory Technician,1,Married,6555,7,No,13,0,41,3,3,10,6,3,2,No
33,Travel_Rarely,Research & Development,11,3,Life Sciences,4,Male,Sales Executive,1,Married,4051,3,No,22,3,15,5,4,1,0,9,7,No
27,Travel_Rarely,Sales,21,1,Life Sciences,4,Female,Sales Executive,4,Single,7459,2,No,18,1,7,2,4,15,10,4,6,No
23,Travel_Frequently,Research & Development,26,4,Technical Degree,2,Male,Sales Executive,2,Single,4082,5,No,23,3,4,1,3,6,5,1,10,No
51,Travel_Rarely,Research & Development,22,2,Life Sciences,1,Female,Research Scientist,1,Single,3669,6,Yes,13,3,31,5,1,14,5,8,2,No
45,Travel_Frequently,Sales,22,1,Technical Degree,2,Female,Manager,1,Married,6897,3,Yes,16,1,24,5,2,6,0,5,3,No
56,Travel_Frequently,Research & Development,7,1,Technical Degree,4,Male,Manager,3,Divorced,9824,2,Yes,16,3,35,5,1,9,6,6,5,No
33,Travel_Rarely,Sales,29,1,Medical,1,Male,Laboratory Technician,4,Married,6222,1,No,10,1,11,3,1,9,3,1,4,No
26,Travel_Rarely,Sales,14,1,Other,2,Male,Laboratory Technician,3,Divorced,7034,5,No,22,2,4,5,2,7,6,7,8,No
21,Travel_Frequently,Research & Development,7,3,Life Sciences,2,Female,Research Scientist,2,Divorced,2825,4,No,13,3,2,0,1,9,9,9,0,No
42,Travel_Rarely,Sales,19,4,Life Sciences,2,Female,Laboratory Technician,3,Single,6582,4,No,25,1,23,1,4,7,4,2,5,No
26,Travel_Frequently,Human Resources,8,4,Medical,2,Male,Laboratory Technician,2,Single,8463,2,No,15,0,4,6,2,15,7,2,3,No
59,Travel_Rarely,Research & Development,8,4,Marketing,2,Male,Research Scientist,1,Married,3571,4,No,20,1,40,6,2,12,10,1,3,No
42,Travel_Rarely,Sales,18,1,Marketing,4,Male,Research Scientist,4,Married,4428,1,No,12,1,23,3,2,1,9,0,9,No
47,Travel_Frequently,Research & Development,11,2,Life Sciences,4,Male,Research Scientist,3,Single,7303,7,No,21,3,29,5,1,14,0,10,7,No
46,Travel_Frequently,Sales,3,2,Life Sciences,2,Female,Research Director,1,Single,4206,6,Yes,13,3,26,4,4,2,5,8,4,No
49,Travel_Rarely,Research & Development,6,1,Life Sciences,1,Female,Manufacturing Director,2,Divorced,2867,1,No,12,0,31,0,3,13,1,7,9,No
23,Non-Travel,Research & Development,22,1,Life Sciences,2,Male,Laboratory Technician,3,Single,6885,4,Yes,18,1,3,0,2,5,8,4,2,No
20,Travel_Rarely,Research & Development,18,4,Marketing,3,Female,Sales Executive,1,Single,4999,0,No,15,0,2,5,2,8,10,3,1,No
36,Travel_Rarely,Sales,15,3,Marketing,4,Male,Sales Representative,3,Married,3978,3,No,15,3,15,3,4,8,7,6,4,No
20,Travel_Rarely,Sales,16,1,Technical Degree,1,Male,Research Scientist,1,Single,12737,3,Yes,23,1,1,2,3,2,0,7,10,No
42,Travel_Frequently,Research & Development,22,3,Life Sciences,1,Female,Research Scientist,4,Married,7508,2,No,15,0,24,3,2,3,9,4,0,No
